steering_angle,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_7,sample_6,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,f0_0,f0_1,f0_2,f0_3,f0_4,f0_5,f0_6,f0_7,f0_8,f0_9,f0_10,f0_11,f0_12,f0_13,f0_14,f0_15,f0_16,f0_17,f0_18,f0_19,f0_20,f0_21,f0_22,f0_23
-2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32935017,0.31663063,0.29647112,0.38136125,0.24525233,0.45813262,0.18113846,0.53853095,0.11196355,0.6280316,0.033605833,0.73285335,0.46476582,0.33182615,0.54931843,0.41193247,0.62781334,0.5028196,0.70253265,0.6010204,0.7866187,0.70844644,0.8636025,0.82987285
-6,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32265598,0.31460804,0.29012495,0.37992436,0.23953138,0.45717806,0.17604394,0.53826046,0.10762386,0.6282971,0.030337207,0.7336519,0.45667487,0.32938147,0.5403632,0.40936336,0.6185283,0.50016683,0.6927625,0.5984502,0.7765134,0.7054438,0.85284704,0.82706666
-6,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32000515,0.31230205,0.28776383,0.37675905,0.23798487,0.45362723,0.17533046,0.534298,0.10829444,0.6236111,0.03259199,0.7285452,0.44889158,0.32668433,0.5295153,0.40555042,0.604761,0.49555153,0.6773863,0.5931702,0.758287,0.69899565,0.83196914,0.8195603
-18,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.30538467,0.31006855,0.27532795,0.37580878,0.22748098,0.45445043,0.16682896,0.5371736,0.10228316,0.6283182,0.02923565,0.73481697,0.4330284,0.32157665,0.5130387,0.39912885,0.5883401,0.48792148,0.6607871,0.58395606,0.74149144,0.6881182,0.8152401,0.8075047
-22,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.31394628,0.30889463,0.27571243,0.375777,0.22273931,0.4548157,0.15858777,0.53815675,0.09048963,0.63031423,0.016156904,0.7377864,0.44208544,0.3188426,0.5147965,0.39538062,0.5855119,0.48308676,0.65377414,0.5780938,0.7305608,0.6808672,0.8033855,0.79915774
-30,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.31997773,0.30962232,0.2806582,0.37462324,0.22714402,0.45222348,0.1624841,0.5337882,0.094583236,0.6237709,0.020682842,0.7288125,0.44508418,0.32000676,0.5145562,0.39485544,0.5824027,0.48164582,0.6482863,0.5753788,0.7218386,0.67694557,0.7924326,0.7927873
-32,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.33239025,0.3095554,0.2909353,0.37427378,0.23572177,0.4514678,0.16916303,0.53292125,0.09957712,0.6227362,0.024548117,0.727526,0.45721635,0.32056367,0.5255292,0.39524394,0.59212524,0.48256195,0.65716076,0.5769229,0.7299089,0.67877114,0.8004959,0.7957631
-32,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3541529,0.31631613,0.3049677,0.3812086,0.24401978,0.4582684,0.17298377,0.53903455,0.09884857,0.62921154,0.020419907,0.73401463,0.4816115,0.32698634,0.54518044,0.40161896,0.6080606,0.48853076,0.6702589,0.5821473,0.74038553,0.6839753,0.81041515,0.8000756
-18,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.37705463,0.3160237,0.32719517,0.37939742,0.2642061,0.45447487,0.1912218,0.53276706,0.114431486,0.6205872,0.031570118,0.72237813,0.51130986,0.32916474,0.57875174,0.40476245,0.643318,0.4919917,0.7071742,0.58654493,0.77870184,0.6898214,0.85005367,0.8056145
0,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.40115082,0.32331955,0.34806192,0.38767165,0.28285062,0.4633182,0.20834056,0.54332,0.12852466,0.63308096,0.04131573,0.73533916,0.5442176,0.33542344,0.6146406,0.41274402,0.6825756,0.5010398,0.75039434,0.5960703,0.82704175,0.7003807,0.90245074,0.8174807
22,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.40804377,0.32026437,0.3592037,0.38604182,0.29727942,0.46166068,0.22517556,0.5427548,0.14686269,0.6343933,0.059258096,0.7381241,0.55336744,0.33411866,0.630089,0.41367912,0.7032988,0.5038491,0.77713263,0.6013221,0.85925126,0.70947796,0.9392753,0.8289301
30,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.41296944,0.31877154,0.36612374,0.3851998,0.30592138,0.46142203,0.23530412,0.54451996,0.15826966,0.6379262,0.07119733,0.74344885,0.55663943,0.33046243,0.6345773,0.40870315,0.70858765,0.4975924,0.78436244,0.59398234,0.86729884,0.70079184,0.94847536,0.81915975
30,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.40966818,0.31608033,0.36901218,0.38209528,0.31347978,0.45775312,0.24709386,0.5408692,0.17386279,0.6342331,0.088267975,0.74007195,0.5516188,0.3288365,0.6341514,0.4079911,0.7110541,0.49773622,0.7906677,0.5951142,0.87595665,0.70352596,0.9586055,0.82302535
30,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3992225,0.30557114,0.36920723,0.37103036,0.3208438,0.44617528,0.2607047,0.5291693,0.19329214,0.62198865,0.11075917,0.72784483,0.5362777,0.3204936,0.6258119,0.40118718,0.7070476,0.4928229,0.7910527,0.5926145,0.8796104,0.70353293,0.96323866,0.825089
10,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.38877904,0.3000852,0.36354846,0.3669834,0.31824112,0.4438296,0.26005864,0.5285434,0.19486725,0.62332976,0.11358862,0.7306732,0.5260229,0.3141512,0.62058127,0.39579916,0.70515203,0.48841462,0.79176414,0.58931607,0.88308644,0.70154536,0.9678136,0.823504
-12,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3696932,0.2922542,0.3450265,0.36072445,0.29961357,0.4389543,0.23977682,0.5236517,0.17360905,0.6189437,0.09192805,0.7268314,0.5086789,0.3084451,0.60630184,0.39382565,0.69280946,0.48970908,0.7805172,0.5938493,0.8740587,0.71002424,0.95822906,0.83476806
-16,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3601451,0.2876671,0.33768228,0.3564791,0.29370475,0.4354033,0.23492442,0.52012825,0.16967383,0.6163124,0.08864116,0.7253719,0.49933532,0.30300015,0.5993413,0.3881138,0.6876091,0.48349613,0.77640814,0.5868671,0.8715786,0.70259726,0.95557046,0.8272668
-16,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.35841823,0.28475565,0.3382633,0.35382134,0.29576364,0.43272334,0.23854294,0.51795435,0.17450967,0.614554,0.09423768,0.72407407,0.49602124,0.29959932,0.59669036,0.38418657,0.68508065,0.47930628,0.77476454,0.58271223,0.87001646,0.69793236,0.95391953,0.8225609
-2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.37518823,0.28407237,0.35906553,0.3535409,0.32011783,0.43203998,0.26718175,0.5190524,0.20748082,0.61687636,0.12890534,0.72727287,0.5068288,0.2988829,0.6078081,0.38297567,0.6968986,0.47764367,0.7885816,0.5812211,0.8839153,0.6960012,0.9679307,0.8220427
6,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.38871494,0.28402013,0.3769534,0.3542176,0.3413158,0.43363625,0.29263896,0.5230209,0.23720023,0.62280047,0.16176477,0.73432636,0.5147656,0.29710954,0.61633,0.38019586,0.70599484,0.4740163,0.7984755,0.5774207,0.89309204,0.69039655,0.97573674,0.81618744
2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3783805,0.28878814,0.37816143,0.35871506,0.34998545,0.43811792,0.30839574,0.52693856,0.2591101,0.6276618,0.18789218,0.7376781,0.5050378,0.30247623,0.6155199,0.385119,0.71084553,0.4787032,0.8086462,0.58223224,0.9075844,0.6946399,0.9901527,0.8206373
-2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.372911,0.28476748,0.38002184,0.35509372,0.35683918,0.4347129,0.32007098,0.52277905,0.27506286,0.62486374,0.20751776,0.73284423,0.49975374,0.2992401,0.614578,0.38240564,0.71285844,0.4766756,0.81301236,0.5808239,0.91317,0.6933676,0.9944226,0.81985974
-2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.36397573,0.29017174,0.3681358,0.35867825,0.3426972,0.43661022,0.30252528,0.52309877,0.2545018,0.6221025,0.18345672,0.72832394,0.49766654,0.30655003,0.6149217,0.39060822,0.71420646,0.48553687,0.8145658,0.59021556,0.9173218,0.7040193,1.001523,0.8290832
2,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.3331083,0.2929163,0.3426854,0.36109143,0.3205651,0.43902737,0.28306407,0.52493536,0.23638615,0.6235031,0.16751423,0.73024523,0.4690864,0.3062302,0.589567,0.38750562,0.69100344,0.47871774,0.79191864,0.5804936,0.89640015,0.69050455,0.9804486,0.8118639
8,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32099515,0.2849143,0.32212177,0.35260305,0.29278764,0.42956227,0.24741672,0.5129677,0.19275668,0.60944426,0.118528455,0.71508604,0.46537843,0.29995364,0.58253837,0.38314873,0.6815567,0.47650608,0.77992594,0.57922596,0.88306135,0.69142795,0.96897817,0.81423724
8,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.30789316,0.29316032,0.30189225,0.35780215,0.26781493,0.43438002,0.21756512,0.51459014,0.15974666,0.60770285,0.084853634,0.7121184,0.45495135,0.30947798,0.5682526,0.39231774,0.66571796,0.48548853,0.75923157,0.5864074,0.8611506,0.698205,0.946264,0.82099855
0,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.31069863,0.3035167,0.29712483,0.36603802,0.25853658,0.44055003,0.20440385,0.51837254,0.14344372,0.6069181,0.06745949,0.7093979,0.45074698,0.32212117,0.5549415,0.40506345,0.64621425,0.49854743,0.7326104,0.59948224,0.8289285,0.7111659,0.9104868,0.8343352
-6,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.32482305,0.30216843,0.3006572,0.3651473,0.25503445,0.4391356,0.19499025,0.5167258,0.12907125,0.6038852,0.05083152,0.70572686,0.45867586,0.3219455,0.55065846,0.40514338,0.63300914,0.4991281,0.7122371,0.6003573,0.8000009,0.71183026,0.8772944,0.83579254
-8,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.31474814,0.30160528,0.2878549,0.36560303,0.24152629,0.44198704,0.18147011,0.5218928,0.11676007,0.61110234,0.0414835,0.71541774,0.44206154,0.3167243,0.52620393,0.39650834,0.603546,0.48723817,0.67871225,0.58524275,0.76142323,0.6922406,0.8354501,0.8133413
-14,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.30273563,0.28678235,0.2734366,0.3512224,0.22468193,0.42821983,0.16351606,0.5082111,0.09754851,0.59769833,0.022855558,0.7029698,0.4322535,0.30190504,0.5133821,0.38094047,0.5898068,0.47181225,0.6630794,0.56969476,0.74425447,0.6758464,0.8186442,0.7976536
-20,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.292718,0.2770079,0.26749617,0.34209347,0.22096518,0.4192862,0.16184004,0.499546,0.097328916,0.58965254,0.023766868,0.69575846,0.42333627,0.29386473,0.50860125,0.37453824,0.5885,0.46691006,0.6647596,0.5669941,0.74877095,0.6752579,0.82489717,0.7992223
-20,0.34419173,0.2904432,0.29849198,0.36805472,0.23765858,0.4545694,0.16452779,0.5461929,0.08598765,0.64717716,0.003717595,0.76694417,0.47615898,0.30628356,0.5523626,0.39673764,0.62912536,0.4954902,0.7035694,0.6040399,0.78753155,0.72242427,0.8644203,0.85789114,0.2809679,0.27357197,0.2593695,0.33912456,0.21420152,0.4177342,0.15701616,0.49846882,0.093363896,0.5902671,0.020408094,0.69763815,0.4172253,0.28899127,0.50725186,0.3692817,0.5914757,0.46075088,0.6713234,0.56009066,0.75865704,0.66758275,0.83809644,0.79094744
